"Emri","Gjinia","Frekuenca"
"Amermusa","M","1"
"Aabai","M","1"
"Aamie","F","1"
"Aaron","M","22"
"Aasira","F","1"
"Aba","F","21"
"Aba","M","1"
"Abadin","M","1"
"Abadina","F","1"
"Abai","M","2"
"Abarona","F","1"
"Abas","M","240"
"Abas","F","1"
"Abasanije","F","1"
"Abasnor","M","1"
"Abastjan","M","1"
"Abasunie","F","1"
"Abaz","M","921"
"Abaz","F","6"
"Abazali","M","2"
"Abazë","F","1"
"Abazi","M","5"
"Abazmi","M","1"
"Abbi","F","1"
"Abdel","M","2"
"Abdeli","M","1"
"Abdelrahman","M","1"
"Abdelrrahman","M","2"
"Abdi","M","141"
"Abdian","M","1"
"Abdije","F","1"
"Abdil","M","0"
"Abdill","M","1"
"Abdin","M","1"
"Abdiol","M","1"
"Abdion","M","1"
"Abdiqe","F","0"
"Abdirena","F","1"
"Abdirrahman","M","1"
"Abdisha","F","1"
"Abdon","M","1"
"Abdualdo","M","1"
"Abduaziz","M","2"
"Abdudha","M","2"
"Abdudhah","M","3"
"Abduhrraman","M","1"
"Abdul","M","20"
"Abdulaziz","F","1"
"Abdulbaki","M","1"
"Abdulhakim","M","1"
"Abdulmelik","M","1"
"Abdulvahid","M","1"
"Abdulla","M","478"
"Abdulla","F","4"
"Abdullah","M","170"
"Abdullah","F","1"
"Abdullahman","M","0"
"Abdullam","M","1"
"Abdullan","M","39"
"Abdullrrahman","M","1"
"Abdura","M","1"
"Abdurahim","M","15"
"Abdurahim","F","1"
"Abdurahman","M","15"
"Abdurahmen","M","1"
"Abduraman","M","16"
"Abduramanth","M","1"
"Abdurrafman","M","1"
"Abdurrahim","M","19"
"Abdurrahman","M","75"
"Abdurrahmen","M","2"
"Abdurraman","M","37"
"Abdusamed","M","12"
"Abdusamet","M","4"
"Abduselam","M","1"
"Abdush","M","1"
"Abdvrrahman","M","2"
"Abdy","M","2"
"Abdyl","M","425"
"Abdyl","F","2"
"Abdylazim","M","1"
"Abdylfiqar","F","1"
"Abdylgafurr","M","1"
"Abdylhaki","M","1"
"Abdyli","M","2"
"Abdylkadër","M","1"
"Abdylkerim","M","1"
"Abdylmexhit","M","1"
"Abdylmin","M","1"
"Abdylrrahim","M","1"
"Abdylla","M","11"
"Abdyllah","M","1"
"Abdyraman","M","1"
"Abdyrrahim","M","2"
"Abdyrrahman","M","2"
"Abdyrraim","M","1"
"Abdys","M","1"
"Abe","F","7"
"Abea","F","1"
"Abed","M","1"
"Abedi","M","2"
"Abedim","M","12"
"Abedin","M","768"
"Abedin","F","4"
"Abedina","F","2"
"Abedini","M","5"
"Abedjan","M","1"
"Abedulluhe","F","1"
"Abehir","M","1"
"Abejla","F","1"
"Abel","M","30"
"Abel","F","3"
"Abela","F","30"
"Abela","M","1"
"Abelard","M","2"
"Abelarda","F","2"
"Abelardo","M","3"
"Abelardo","F","1"
"Abelarod","M","1"
"Abelia","F","1"
"Abelian","M","1"
"Abeliana","F","3"
"Abelina","F","44"
"Abelinda","F","2"
"Abelio","F","1"
"Abeljal","M","1"
"Abeljan","M","2"
"Abeljana","F","1"
"Abeljon","M","1"
"Abelona","F","1"
"Abem","M","17"
"Aben","M","28"
"Abenaldo","M","1"
"Abend","M","1"
"Abenisa","F","5"
"Aber","M","2"
"Aberi","M","13"
"Aberie","F","1"
"Aberim","M","3"
"Abert","M","2"
"Abertina","F","1"
"Aberton","M","1"
"Abesanie","F","1"
"Abesemie","F","1"
"Abesin","M","1"
"Abesjamo","M","1"
"Abestrina","F","1"
"Abesh","M","1"
"Abesho","M","1"
"Abeta","F","1"
"Abeta","M","1"
"Abetin","M","1"
"Abër","M","1"
"Abgliki","F","1"
"Abham","M","1"
"Abi","M","24"
"Abi","F","16"
"Abia","F","6"
"Abian","M","9"
"Abiana","F","1"
"Abias","M","2"
"Abib","M","7"
"Abibe","F","83"
"Abid","M","2"
"Abida","F","1"
"Abidan","M","1"
"Abide","F","2"
"Abideni","M","1"
"Abidin","M","33"
"Abidini","M","1"
"Abie","F","2"
"Abiel","M","16"
"Abiel","F","2"
"Abiela","F","12"
"Abielameridith","F","1"
"Abies","M","1"
"Abiesa","F","1"
"Abigael","F","1"
"Abigaela","F","1"
"Abigahila","F","1"
"Abigail","F","7"
"Abigail","M","1"
"Abigaila","F","4"
"Abigalja","F","1"
"Abigana","F","1"
"Abigeil","F","16"
"Abigeil","M","1"
"Abigeila","F","3"
"Abigejla","F","2"
"Abigel","M","13"
"Abigel","F","3"
"Abigela","F","37"
"Abigena","F","4"
"Abigeski","M","1"
"Abigiela","F","1"
"Abikeil","F","1"
"Abikela","F","15"
"Abil","M","32"
"Abil","F","1"
"Abilian","M","2"
"Abiljan","M","1"
"Abimael","M","1"
"Abin","M","1"
"Abina","F","3"
"Abio","M","4"
"Abiol","M","4"
"Abiola","F","11"
"Abion","M","5"
"Abiona","F","8"
"Abionad","M","1"
"Abip","M","7"
"Abisa","F","3"
"Abisel","M","3"
"Abissail","M","1"
"Abit","M","2"
"Abiur","M","1"
"Abivije","F","1"
"Abja","F","2"
"Abjam","M","1"
"Abjan","M","4"
"Abjani","M","1"
"Abjanka","F","1"
"Abjanko","M","1"
"Abjel","M","3"
"Abjela","F","1"
"Abjen","M","1"
"Abjo","M","3"
"Abjola","F","7"
"Abjon","M","6"
"Abjona","F","5"
"Abjordi","M","1"
"Abjorn","M","1"
"Abjura","F","1"
"Abla","F","26"
"Abla","M","1"
"Ablamb","M","1"
"Abland","M","1"
"Ablentin","M","1"
"Ablentina","F","1"
"Abletina","F","1"
"Abli","M","1"
"Ablion","M","1"
"Ablisja","F","1"
"Abluada","F","1"
"Abmand","M","1"
"Abmir","M","23"
"Abmonela","F","1"
"Abna","F","1"
"Abnan","M","2"
"Abner","M","2"
"Aboranda","F","1"
"Aboyl","M","1"
"Abra","F","3"
"Abraamaris","F","1"
"Abrah","M","1"
"Abraham","M","7"
"Abrahim","M","7"
"Abred","M","1"
"Abreta","F","1"
"Abri","M","1"
"Abria","F","1"
"Abrian","M","15"
"Abriana","F","14"
"Abrieina","F","1"
"Abriel","M","4"
"Abriel","F","1"
"Abriela","F","8"
"Abrield","M","1"
"Abrienda","F","1"
"Abrigeila","F","1"
"Abrigel","M","1"
"Abrigela","F","1"
"Abrigell","F","1"
"Abrikena","F","1"
"Abril","F","1"
"Abril","M","1"
"Abrila","F","2"
"Abriljam","M","1"
"Abriona","F","1"
"Abrisel","M","1"
"Abrisilda","F","2"
"Abriza","F","1"
"Abrizida","F","1"
"Abrizita","F","1"
"Abroxhina","F","1"
"Absilda","F","1"
"Absirdi","M","1"
"Abui","M","1"
"Abulizi","F","1"
"Abullah","M","1"
"Aburrahman","M","1"
"Abvida","F","1"
"Abvie","F","1"
"Abyalamelanie","F","1"
"Acelina","F","1"
"Acexis","M","1"
"Achille","M","1"
"Aci","M","17"
"Acj","M","1"
"Acsi","M","1"
"Açelio","M","1"
"Açest","M","1"
"Açif","M","1"
"Aço","F","1"
"Açon","M","1"
"Açz","F","1"
"Ad","M","2"
"Ada","F","811"
"Adamari","F","1"
"Adail","M","2"
"Adair","M","3"
"Adal","M","1"
"Adalajda","F","3"
"Adalberto","M","1"
"Adalen","M","4"
"Adalena","F","3"
"Adalena","M","1"
"Adalet","F","1"
"Adaleta","F","4"
"Adalete","F","3"
"Adalgisa","F","6"
"Adalia","F","1"
"Adalina","F","2"
"Adalio","M","1"
"Adaljent","M","1"
"Adam","M","29"
"Adam","F","1"
"Adama","F","1"
"Adamant","M","1"
"Adamantia","F","1"
"Adamela","F","1"
"Adami","M","1"
"Adamo","M","1"
"Adamond","M","1"
"Adams","M","1"
"Adan","M","31"
"Adana","F","4"
"Adanalda","F","1"
"Adanat","M","1"
"Adanel","M","1"
"Adanela","F","2"
"Adanja","F","1"
"Adanjo","M","1"
"Adanjus","M","1"
"Adap","M","1"
"Adar","M","1"
"Adara","F","1"
"Adario","M","1"
"Adban","M","1"
"Adbert","M","1"
"Adbesa","F","1"
"Adbin","M","2"
"Adçlina","F","1"
"Addenisa","F","1"
"Adea","F","219"
"Adea","M","6"
"Adeasofia","F","1"
"Adean","M","1"
"Adeana","F","1"
"Adear","M","1"
"Adeas","M","1"
"Adedin","M","2"
"Adedhije","F","1"
"Adefjola","M","1"
"Adehie","F","1"
"Adeilda","F","3"
"Adein","M","1"
"Adeina","F","1"
"Adeis","M","2"
"Adeisa","F","1"
"Adeisa","M","1"
"Adeja","F","5"
"Adejana","F","1"
"Adejla","F","1"
"Adejlada","F","1"
"Adejna","F","1"
"Adeklajda","F","1"
"Adekrete","F","1"
"Adel","M","32"
"Adel","F","4"
"Adela","F","1964"
"Adelada","F","7"
"Adelado","M","1"
"Adelai","F","1"
"Adelaid","M","5"
"Adelaida","F","81"
"Adelaide","F","4"
"Adelaidi","M","1"
"Adelaidia","F","1"
"Adelaido","M","1"
"Adelaiza","F","1"
"Adelajada","F","2"
