State,Sex,Year,Name,Number,Percent
BERAT,M,2011,Çeço,1,0.01
BERAT,M,2011,Abedin,1,0.01
BERAT,M,2011,Abil,1,0.01
BERAT,M,2011,Adelen,1,0.01
BERAT,M,2011,ADION,1,0.01
BERAT,M,2011,Adri,1,0.01
BERAT,M,2011,Adrian,1,0.01
BERAT,M,2011,Adriano,1,0.01
BERAT,M,2011,Adrijan,1,0.01
BERAT,M,2011,Adriol,1,0.01
BERAT,M,2011,Agron,1,0.01
BERAT,M,2011,Ainsley,1,0.01
BERAT,M,2011,Aisel,1,0.01
BERAT,M,2011,Ajdli,1,0.01
BERAT,M,2011,Ajteo,1,0.01
BERAT,M,2011,Alban,2,0.01
BERAT,M,2011,Albert,1,0.01
BERAT,M,2011,Alberto,1,0.01
BERAT,M,2011,Albi,3,0.02
BERAT,M,2011,Albino,1,0.01
BERAT,M,2011,Albiol,1,0.01
BERAT,M,2011,Albion,4,0.02
BERAT,M,2011,Aldi,1,0.01
BERAT,M,2011,Aldjon,2,0.01
BERAT,M,2011,Aldo,4,0.02
BERAT,M,2011,Aleandro,3,0.02
BERAT,M,2011,Aleant,1,0.01
BERAT,M,2011,Alehandro,2,0.01
BERAT,M,2011,Aleks,7,0.04
BERAT,M,2011,Aleksandër,4,0.02
BERAT,M,2011,Aleksander,4,0.02
BERAT,M,2011,Aleksandro,4,0.02
BERAT,M,2011,Alesio,2,0.01
BERAT,M,2011,Alesjo,3,0.02
BERAT,M,2011,Alfred,1,0.01
BERAT,M,2011,Algent,1,0.01
BERAT,M,2011,Algert,1,0.01
BERAT,M,2011,Algerto,1,0.01
BERAT,M,2011,Aliandro,1,0.01
BERAT,M,2011,Alin,1,0.01
BERAT,M,2011,Alindo,1,0.01
BERAT,M,2011,Alkeo,4,0.02
BERAT,M,2011,Alkido,1,0.01
BERAT,M,2011,Almir,1,0.01
BERAT,M,2011,Alteo,1,0.01
BERAT,M,2011,Alvi,2,0.01
BERAT,M,2011,Alvin,1,0.01
BERAT,M,2011,Amadeo,1,0.01
BERAT,M,2011,Amarild,1,0.01
BERAT,M,2011,Amarildo,2,0.01
BERAT,M,2011,Amelio,1,0.01
BERAT,M,2011,Ameljo,1,0.01
BERAT,M,2011,Andi,1,0.01
BERAT,M,2011,Andrea,4,0.02
BERAT,M,2011,Anduel,1,0.01
BERAT,M,2011,Aneld,1,0.01
BERAT,M,2011,Angjelo,4,0.02
BERAT,M,2011,Angjelos,3,0.02
BERAT,M,2011,Ani,1,0.01
BERAT,M,2011,Aniel,1,0.01
BERAT,M,2011,Anikel,1,0.01
BERAT,M,2011,Antonio,5,0.03
BERAT,M,2011,Antuan,1,0.01
BERAT,M,2011,Anxhelino,1,0.01
BERAT,M,2011,Anxhelo,3,0.02
BERAT,M,2011,Anxhelos,1,0.01
BERAT,M,2011,Arbër,1,0.01
BERAT,M,2011,Arber,1,0.01
BERAT,M,2011,Arbiord,1,0.01
BERAT,M,2011,Arbjon,1,0.01
BERAT,M,2011,Arbri,2,0.01
BERAT,M,2011,Ardit,3,0.02
BERAT,M,2011,Argit,1,0.01
BERAT,M,2011,Arian,1,0.01
BERAT,M,2011,Arjol,1,0.01
BERAT,M,2011,Arjon,1,0.01
BERAT,M,2011,Arlendio,1,0.01
BERAT,M,2011,Arli,1,0.01
BERAT,M,2011,Arlind,1,0.01
BERAT,M,2011,Armand,1,0.01
BERAT,M,2011,Armen,1,0.01
BERAT,M,2011,Armend,1,0.01
BERAT,M,2011,Arnildo,1,0.01
BERAT,M,2011,Aros,1,0.01
BERAT,M,2011,Arqile,1,0.01
BERAT,M,2011,Arseld,1,0.01
BERAT,M,2011,Arsen,1,0.01
BERAT,M,2011,Arsi,1,0.01
BERAT,M,2011,Arsid,1,0.01
BERAT,M,2011,Arsiel,1,0.01
BERAT,M,2011,Arshin,1,0.01
BERAT,M,2011,Artion,1,0.01
BERAT,M,2011,Asllan,2,0.01
BERAT,M,2011,Astrit,1,0.01
BERAT,M,2011,Augerto,1,0.01
BERAT,M,2011,Aurelio,1,0.01
BERAT,M,2011,Avdulla,1,0.01
BERAT,M,2011,Avgustin,1,0.01
BERAT,M,2011,Azis,1,0.01
BERAT,M,2011,Bahir,1,0.01
BERAT,M,2011,Bakian,1,0.01
BERAT,M,2011,Balil,1,0.01
BERAT,M,2011,Bari,1,0.01
BERAT,M,2011,Barjam,1,0.01
BERAT,M,2011,Benaldo,1,0.01
BERAT,M,2011,Beqo,1,0.01
BERAT,M,2011,Berat Emil,1,0.01
BERAT,M,2011,Besard,2,0.01
BERAT,M,2011,Besjana,1,0.01
BERAT,M,2011,Besmir,2,0.01
BERAT,M,2011,Biorki,1,0.01
BERAT,M,2011,Bjorni,1,0.01
BERAT,M,2011,Blendi,1,0.01
BERAT,M,2011,Blerim,1,0.01
